oid_,namobj,luaswh,wadmkc,wadmkd,wadmkk,wadmpr,nddi_mean,elevation_mean,slope_mean,popden_pop_density,bui_mean,ndmi_mean,ntl_mean,ndvi_mean,rwi,POI_EDU_Distance,POI_EDU_Density,POI_HEALTH_Distance,POI_HEALTH_Density,IKP,IKP_Estimasi
223,Giri Emas,237.3905668,Sawan,Giri Emas,Buleleng,Bali,0.893915414,32.44946492,4.846010923,13.03200292,0.329057113,0.083845245,2.383429443,0.686480234,0.388,0.037265184,0.0,0.0537274,0.0,82.02,87.7549194642856
224,Gitgit,339.2676481,Sukasada,Gitgit,Buleleng,Bali,0.439619418,671.8354677,11.94612145,3.130016796,0.469870104,0.181305166,0.818422118,0.637937435,0.1915,0.055455308,0.0,0.045207795,0.0,82.02,85.74426503527337
225,Gobleg,1844.292729,Banjar,Gobleg,Buleleng,Bali,0.439439045,1010.846464,12.17328733,3.789926603,0.446026756,0.187248806,0.74012144,0.539516824,0.384,0.006245793,0.0,0.07570851,0.0,82.02,84.8827579519401
226,Kelating,328.2616222,Kerambitan,Kelating,Tabanan,Bali,1.070568277,24.75472238,2.689657199,4.265872618,0.249529161,0.052853825,1.620999153,0.525079799,1.158,0.084644014,0.0,0.053396131,0.0,90.54,88.4225026463061
227,Keliki,444.6627296,Tegallalang,Keliki,Gianyar,Bali,0.679189603,313.6787302,7.095082309,15.09566077,0.452126268,0.151028796,2.566940486,0.661473413,1.019,0.00420709,0.0,0.000397039,0.0,92.16,89.04409303571421
228,Kelusa,613.2361226,Payangan,Kelusa,Gianyar,Bali,0.553317258,380.4461962,6.027605033,10.5051911,0.489980126,0.177343661,1.880334053,0.751877636,0.964,0.009824053,0.0,0.011790833,0.0,92.16,88.95882946428566
229,Lodtunduh,634.43713,Ubud,Lodtunduh,Gianyar,Bali,2.885628679,131.9287724,3.416439747,14.35711412,0.311968522,0.084352622,4.501127283,0.597293678,1.061,0.0,0.0015762,0.008145875,0.0,92.16,89.17611261904754
230,Lokapaksa,1350.018672,Seririt,Lokapaksa,Buleleng,Bali,0.61976664,118.6871563,9.446607355,7.80361258,0.425605603,0.093185979,1.475316592,0.722080714,0.232333333,0.094042927,0.0,0.008486931,0.0,82.02,87.71903985670184
231,Loloan Barat,32.13102947,Negara,Loloan Barat,Jembrana,Bali,0.649932298,9.250737463,1.476843726,62.5993662,0.08982017,-0.07681339,8.585603237,0.372478574,0.1915,0.023031225,0.0,0.010836777,0.0,86.59,93.39139369047615
232,Loloan Timur,272.6916112,Jembrana,Loloan Timur,Jembrana,Bali,0.148346755,5.865060241,1.441747304,21.74566965,0.312890763,0.054138681,4.740827348,0.546100608,0.873,0.018851085,0.0,0.007763122,0.0,86.59,93.42861404761891
233,Antapan,1026.55672,Baturiti,Antapan,Tabanan,Bali,0.573046867,873.5689971,11.17035661,4.244109094,0.493569563,0.158793772,0.787492965,0.735386895,0.36,0.017536326,0.0,0.008908828,0.0,90.54,88.12517691798953
234,Antiga,719.8813471,Manggis,Antiga,Karangasem,Bali,0.628136274,78.34214984,10.94514826,10.17455495,0.547823407,0.155446841,1.757184365,0.802657233,0.827,0.086822816,0.0,0.003273569,0.0,85.28,88.36124275619619
235,Antiga Kelod,504.1016704,Manggis,Antiga Kelod,Karangasem,Bali,0.59541707,34.96070764,7.403684531,7.431122368,0.504419176,0.131962985,1.59388757,0.770354789,0.1915,0.073888065,0.0,0.007468269,0.0,85.28,87.99926939606216
236,Belanga,318.9497637,Kintamani,Belanga,Bangli,Bali,0.484195792,1176.957854,9.564133735,2.547394552,0.459763232,0.146438893,0.536793399,0.727237862,0.1915,0.059116952,0.0,0.049906513,0.0,77.35,77.64518541666611
237,Belantih,503.4371203,Kintamani,Belantih,Bangli,Bali,0.658447693,1269.195445,5.06570037,4.207435656,0.427103569,0.12551665,0.707606255,0.650685901,0.394,0.034444495,0.0,0.068101114,0.0,77.35,78.04664124999948
238,Belatungan,1768.473935,Pupuan,Belatungan,Tabanan,Bali,0.471705739,477.3845091,16.65815262,2.162324311,0.564185482,0.211679654,0.430883505,0.76542344,-0.031,0.143680495,0.0,0.161069547,0.0,90.54,87.84130823395415
239,Belega,251.2245928,Blahbatuh,Belega,Gianyar,Bali,0.862904712,90.31205674,2.740036475,18.13089324,0.312996613,0.064000405,4.088188098,0.614977555,0.1915,0.010356615,0.0,0.003702043,0.0,92.16,88.57925031259481
240,Belimbing,1524.592814,Pupuan,Belimbing,Tabanan,Bali,0.434559882,520.2859434,10.11266136,2.70660329,0.5508464,0.210164996,0.470797308,0.780246577,-0.140666667,0.104159746,0.0,0.10477068,0.0,90.54,87.90621240062083
241,Belimbingsari,2714.830055,Melaya,Belimbingsari,Jembrana,Bali,0.447375008,204.2482682,11.24643689,1.745968295,0.532391154,0.195040987,0.527040919,0.78320397,0.5,0.026844243,0.0,0.061910697,0.0,86.59,85.56243135237321
242,Belok/Sidan,2673.061049,Petang,Belok/Sidan,Badung,Bali,2.00676773,980.9904671,13.76736043,4.0793014,0.533059093,0.16963304,0.741461486,0.765770775,0.259714286,0.053960089,0.0,0.006633157,0.0,91.59,87.79639657450079
243,Antosari,639.4646355,Selemadeg Barat,Antosari,Tabanan,Bali,0.517600638,120.789721,5.345599338,6.524705255,0.43696651,0.167813641,0.800852776,0.717150923,0.5805,0.103215106,0.0,0.103145848,0.0,90.54,87.04393696428575
244,Anturan,283.5572838,Buleleng,Anturan,Buleleng,Bali,0.903315267,26.83543464,3.769819188,21.74609234,0.307132962,0.06598562,3.235107064,0.627587646,0.673,0.0,0.003526624,0.000989472,0.0,82.02,86.11301765306125
245,Apuan,518.6281469,Baturiti,Apuan,Tabanan,Bali,0.791417758,454.6525817,5.855246729,16.44947306,0.472719622,0.154791405,1.447013797,0.712491493,0.553,0.0,0.001928164,0.028018848,0.0,90.54,89.18865154761906
246,Belumbang,243.302035,Kerambitan,Belumbang,Tabanan,Bali,2.969555017,40.94158607,3.489951951,13.14440726,0.208270296,0.008991083,1.392087436,0.472558863,0.1915,0.069042561,0.0,0.0477777,0.0,90.54,88.27035739592813
247,Beng,196.8039063,Gianyar,Beng,Gianyar,Bali,-8.334354049,166.4111748,4.409418826,22.49217351,0.381026192,0.08901126,5.519112031,0.625465997,0.844,0.001875813,0.0,0.000846827,0.0,92.16,88.87717207417572
248,Bengkala,454.4264229,Kubutambahan,Bengkala,Buleleng,Bali,2.037516726,118.2218076,6.069461384,8.688362915,0.389287984,0.094481624,1.135108425,0.747389307,0.4615,0.014884323,0.0,0.045846994,0.0,82.02,87.62414154761895
249,Apuan,414.5278833,Susut,Apuan,Bangli,Bali,0.791417758,454.6525817,5.855246729,16.44947306,0.472719622,0.154791405,1.447013797,0.712491493,0.1915,0.019058984,0.0,0.022743795,0.0,77.35,84.84657446428541
250,Asahduren,1170.195573,Pekutatan,Asahduren,Jembrana,Bali,0.454550096,221.1275793,14.50100862,2.52345385,0.582246589,0.214077834,0.612754968,0.823873601,0.536,0.083586766,0.0,0.186858862,0.0,86.59,86.2034941483335
251,Astina,22.35570361,Buleleng,Astina,Buleleng,Bali,0.439774294,32.33472803,3.133035243,8.999123998,0.094243805,-0.032504462,12.57634449,0.315339037,0.1915,0.001321672,0.0,0.00039448,0.0,82.02,85.54399359013529
252,Awan,704.1336857,Kintamani,Awan,Bangli,Bali,0.595508543,1225.049253,9.716305913,2.367582041,0.425274554,0.138619827,0.556137142,0.722194518,0.173,0.037226837,0.0,0.056532724,0.0,77.35,77.5644104166661
253,Ayunan,211.466253,Abiansemal,Ayunan,Badung,Bali,0.579531308,197.8490483,4.382369546,8.999123998,0.410157843,0.129260242,2.273102999,0.677554864,0.1915,0.044643796,0.0,0.012293948,0.0,91.59,87.76060121704981
254,Babahan,493.0019072,Penebel,Babahan,Tabanan,Bali,0.632293443,511.993135,6.295457455,5.601643153,0.458760473,0.151569552,0.96473933,0.728564494,0.625,0.010958348,0.0,0.020197555,0.0,90.54,88.56181779761911
255,Baha,547.2279813,Mengwi,Baha,Badung,Bali,0.624071606,159.9865841,3.496299867,19.24656556,0.353288496,0.10843666,2.781282435,0.603060083,1.036,0.050061981,0.0,0.012182604,0.0,91.59,88.22342189560426
256,Bajera,192.9444265,Selemadeg,Bajera,Tabanan,Bali,1.720072717,126.4248047,4.886222929,18.00737451,0.325709545,0.097152996,2.351877974,0.652259807,0.1915,0.096145654,0.0,0.095016633,0.0,90.54,88.41476983465598
257,Bajera Utara,391.5353179,Selemadeg,Bajera Utara,Tabanan,Bali,0.525448225,207.3935252,6.414761206,3.114986301,0.476228247,0.175918701,0.797895202,0.758476164,-0.005,0.095798368,0.0,0.09392037,0.0,90.54,86.59086187922094
258,Bakas,225.5552257,Banjarangkan,Bakas,Klungkung,Bali,0.664492733,169.1272879,6.637687395,14.79320473,0.487349946,0.140093448,2.051688886,0.720550751,0.494,0.024648444,0.0,0.023394658,0.0,87.53,87.81540306228793
259,Bakbakan,428.3976631,Gianyar,Bakbakan,Gianyar,Bali,0.698743092,232.6240404,4.498006,13.97059919,0.424567735,0.127983008,2.309559421,0.689722405,0.789,0.011976065,0.0,0.010914669,0.0,92.16,88.19725803571424
260,Baktiseraga,234.8302328,Buleleng,Baktiseraga,Buleleng,Bali,1.445103287,23.43366733,2.518672977,66.7620752,0.194891601,0.022403623,7.8743841,0.442496794,0.1915,0.002690562,0.0,0.0,0.012775186,82.02,86.08688410889128
261,Baler Bale Agung,1702.658285,Negara,Baler Bale Agung,Jembrana,Bali,0.424905732,449.9803954,18.66129063,5.375380806,0.35946366,0.17031199,1.260864532,0.636644879,1.0385,0.0,0.000587317,0.0,0.000587317,86.59,88.77482644667239
262,Baluk,873.4332877,Negara,Baluk,Jembrana,Bali,0.61976664,18.48945102,2.437146002,12.24253465,0.425605603,0.081030128,2.16766451,0.680359321,0.412,0.018599473,0.0,0.01256127,0.0,86.59,88.35148549896714
263,Ban,7780.409936,Kubu,Ban,Karangasem,Bali,0.651300111,917.4410108,17.59681594,3.018237432,0.421957478,0.114122796,0.484904731,0.530434105,-0.323363636,0.007089404,0.0,0.031100184,0.0,85.28,85.46495902898529
264,Bangbang,358.8230939,Tembuku,Bangbang,Bangli,Bali,19.47973246,482.0654965,9.638924858,7.966299202,0.45417885,0.135507933,1.503859093,0.708001631,0.895,0.043393756,0.0,0.041450519,0.0,77.35,85.21602363095211
265,Bangli,1516.668808,Baturiti,Bangli,Tabanan,Bali,0.519322337,1059.496871,12.40029677,3.950006564,0.484062919,0.179754868,0.732056642,0.635818406,0.303,0.008457564,0.0,0.002056022,0.0,90.54,87.86663441798959
266,Banjar,1104.647675,Banjar,Banjar,Buleleng,Bali,0.60559972,181.8913525,11.88476798,5.874528923,0.454365253,0.143598315,1.319189252,0.763901549,0.512,0.055771012,0.0,0.025662666,0.0,82.02,86.7441123567019
267,Banjar Anyar,703.625845,Kediri,Banjar Anyar,Tabanan,Bali,-3.532602384,130.5500801,3.830434109,29.96663112,0.271799421,0.055016932,5.52647648,0.550970328,0.857,0.019210221,0.0,0.008809654,0.0,90.54,88.58294876810098
268,Banjar Bali,18.39680523,Buleleng,Banjar Bali,Buleleng,Bali,-1.399351953,11.53535354,1.925747267,8.999123998,0.031707948,-0.067492597,13.60550022,0.243090723,0.1915,0.005184043,0.0,0.001110458,0.0,82.02,84.82056252725864
269,Banjar Jawa,55.39710997,Buleleng,Banjar Jawa,Buleleng,Bali,-0.058449366,20.76610169,2.520677734,110.6046459,0.090207618,-0.035960585,14.55694262,0.301431127,0.1915,0.000782757,0.0,0.0,0.018051483,82.02,85.82351634654556
270,Banjar Tegal,76.25128179,Buleleng,Banjar Tegal,Buleleng,Bali,-0.776569977,39.80864198,3.15794155,8.999123998,0.13939191,-0.018452353,14.13222561,0.399595945,0.1915,0.0,0.104916269,0.000268506,0.0,82.02,85.79509173595363
271,Banjar Tegeha,70.30803519,Banjar,Banjar Tegeha,Buleleng,Bali,0.893033843,75.00795756,8.222470926,23.33477515,0.397903417,0.108594405,3.62685039,0.658769351,0.1915,0.058682034,0.0,0.031198827,0.0,82.02,87.12118470238084
272,Banjar Tengah,89.88200349,Negara,Banjar Tengah,Jembrana,Bali,2.89514632,10.40628272,1.522517553,30.32888554,0.160726111,-0.034388017,6.778405952,0.451141446,0.1915,0.01507984,0.0,0.00291718,0.0,86.59,93.50483988095235
273,Banjarangkan,221.3787487,Banjarangkan,Banjarangkan,Klungkung,Bali,1.074013432,60.03695837,3.112485321,11.01089761,0.359376533,0.062291071,3.500915733,0.612827328,0.848,0.01570178,0.0,0.011724447,0.0,87.53,88.44896764630609
274,Banjarasem,442.6763966,Seririt,Banjarasem,Buleleng,Bali,0.61976664,22.72360314,3.772351435,13.70000729,0.425605603,0.103171822,2.366084789,0.577919512,0.1915,0.112411923,0.0,0.020991652,0.0,82.02,87.54517152336847
275,Bantang,664.3976962,Kintamani,Bantang,Bangli,Bali,0.523421698,1255.962716,19.23141542,2.416708804,0.454776211,0.175898178,0.616169766,0.371409978,-0.0135,0.010738524,0.0,0.059416813,0.0,77.35,77.57744374999945
276,Bantas,314.84256,Selemadeg Timur,Bantas,Tabanan,Bali,1.016631657,143.0747161,4.817781939,7.426541524,0.373160534,0.106194541,2.045372827,0.678288808,0.757,0.050569704,0.0,0.052005209,0.0,90.54,88.24226345238081
277,Banua,97.29136126,Kintamani,Banua,Bangli,Bali,0.986248875,928.1486486,6.19830386,10.21905874,0.448976537,0.133995544,1.144190341,0.703609148,0.1915,0.020882016,0.0,0.07149581,0.0,77.35,79.55830666666613
278,Banyubiru,852.3963999,Negara,Banyubiru,Jembrana,Bali,0.61976664,15.53986784,2.654127946,8.844837935,0.425605603,0.095877818,1.732809354,0.678579882,0.5945,0.022113001,0.0,0.018960361,0.0,86.59,88.35984814735266
279,Banyuasri,191.0010703,Buleleng,Banyuasri,Buleleng,Bali,0.888674974,14.93996063,2.285961655,82.36839786,0.174923784,0.016931766,9.999131024,0.407757311,0.1915,0.0,0.005235573,0.001886306,0.0,82.02,86.35089303571432
280,Banyuatis,279.2247469,Banjar,Banyuatis,Buleleng,Bali,0.362300462,446.3157541,10.90464788,13.50164129,0.508921434,0.175841013,1.886394409,0.731202935,0.748,0.016999207,0.0,0.097523884,0.0,82.02,86.99745511904756
281,Banyuning,520.5279863,Buleleng,Banyuning,Buleleng,Bali,3.416559906,38.90427072,2.894859582,36.10807895,0.255239237,0.052780399,6.544646063,0.530945305,0.705,0.007848331,0.0,0.003492621,0.0,82.02,86.01665972963957
282,Banyupoh,3805.801579,Gerokgak,Banyupoh,Buleleng,Bali,0.61976664,435.6865827,21.09635026,2.566282896,0.425605603,0.191205698,0.578497393,0.789401492,0.2465,0.064065422,0.0,0.017708147,0.0,82.02,85.31281819003527
283,Banyuseri,266.6533929,Banjar,Banyuseri,Buleleng,Bali,0.392864938,440.9841549,14.89747113,4.271868332,0.562544441,0.203649218,0.895155971,0.810121436,0.1915,0.045504368,0.0,0.07109166,0.0,82.02,85.27179545194012
284,Baru,334.248522,Marga,Baru,Tabanan,Bali,0.586731149,531.3316441,3.677577502,9.417180643,0.467368648,0.152714212,1.200048427,0.667455454,0.1915,0.004785025,0.0,0.037616963,0.0,90.54,87.83431299896702
285,Batannyuh,236.5372089,Marga,Batannyuh,Tabanan,Bali,0.712645277,190.9821429,3.865562792,14.59187387,0.390634855,0.13652688,2.125646374,0.694062908,0.929,0.034339005,0.0,0.001553872,0.0,90.54,88.50770205106801
286,Batu Agung,2856.343261,Jembrana,Batu Agung,Jembrana,Bali,2.148238724,398.839368,15.91565994,3.261444842,0.417426547,0.197982285,0.797292387,0.711916719,0.245,0.020408879,0.0,0.019270338,0.0,86.59,87.10790158947663
287,Batuaji,455.8895332,Kerambitan,Batuaji,Tabanan,Bali,0.765920026,150.8013614,5.140709431,8.990031922,0.410218597,0.127557539,1.48824878,0.681774731,0.1915,0.013645685,0.0,0.015040038,0.0,90.54,88.20628114592814
288,Aan,406.9607515,Banjarangkan,Aan,Klungkung,Bali,0.674280418,236.2226075,8.461247727,7.903560234,0.477372994,0.149419895,1.663725888,0.73386014,0.1915,0.013482423,0.0,0.016429344,0.0,87.53,87.96584005024914
289,Ababi,962.9122531,Abang,Ababi,Karangasem,Bali,0.639331812,352.1894768,5.51622151,6.525156014,0.432859655,0.128380842,1.14972063,0.747864477,0.18,0.0130036,0.0,0.016247637,0.0,85.28,87.87851799896707
290,Abang,399.9239312,Abang,Abang,Karangasem,Bali,0.581413598,328.4203986,4.366355982,4.870751872,0.460663587,0.128928269,1.047401799,0.780028193,0.714,0.004306916,0.0,0.025245302,0.0,85.28,88.44909186333902
291,Abangsongan,1482.233926,Kintamani,Abangsongan,Bangli,Bali,0.599995336,1229.749239,15.36709419,2.731741919,0.363227692,0.153715703,0.536022657,0.551097124,-0.212333333,0.07587544,0.0,0.09131894,0.0,77.35,77.62536041666611
292,Batuan,391.1791717,Sukawati,Batuan,Gianyar,Bali,0.956224388,83.46719539,3.388620611,37.68493091,0.283329106,0.064128922,4.821124805,0.567346945,0.1915,0.0,0.00766912,0.0,0.002556373,92.16,88.87387158163256
293,Batuan Kaler,279.9805341,Sukawati,Batuan Kaler,Gianyar,Bali,2.092257633,100.0455002,2.974395504,26.49423387,0.318551184,0.074853885,3.753375895,0.615144439,1.013,0.004458328,0.0,0.001402131,0.0,92.16,89.20042389630609
294,Abian Tuwung,503.9450078,Kediri,Abian Tuwung,Tabanan,Bali,0.884592016,114.5701248,3.313728011,26.16426302,0.354912996,0.105709911,4.616443146,0.621761125,1.0995,0.040925653,0.0,0.008013894,0.0,90.54,88.56255830106801
295,Abianbase,411.1897503,Mengwi,Abianbase,Badung,Bali,0.31340969,96.36986105,2.662141649,44.8820708,0.258986829,0.055096831,5.506195678,0.516930022,1.009,0.016223743,0.0,0.025412526,0.0,91.59,88.48301832417573
296,Abianbase,243.0278765,Gianyar,Abianbase,Gianyar,Bali,0.31340969,96.36986105,2.662141649,44.8820708,0.258986829,0.055096831,5.506195678,0.516930022,0.1915,0.006549123,0.0,0.001958579,0.0,92.16,88.78452578035049
297,Batubulan,790.9632682,Sukawati,Batubulan,Gianyar,Bali,1.338405984,48.99821683,2.597497612,45.29611448,0.195589417,0.016231168,6.687645055,0.482950664,0.981,0.0,0.001264281,0.0,0.005057125,92.16,89.3208382142857
298,Batubulan Kangin,430.1226733,Sukawati,Batubulan Kangin,Gianyar,Bali,1.004008123,43.77307441,2.221517227,24.87108241,0.250396052,0.066062964,5.503856684,0.516156662,0.1915,0.004471953,0.0,0.005400067,0.0,92.16,89.09474510000982
299,Abang Batudinding,628.8483439,Kintamani,Abang Batudinding,Bangli,Bali,0.667246263,1037.283965,10.58424085,2.409491057,0.335926575,0.126921893,0.750839389,0.528730035,-0.013,0.08889085,0.0,0.104348979,0.0,77.35,78.24840124999949
300,Batukaang,327.682717,Kintamani,Batukaang,Bangli,Bali,0.517797523,1129.589722,10.40732656,4.373515782,0.492534226,0.160637873,0.531044969,0.780228058,-0.055,0.069623209,0.0,0.042169344,0.0,77.35,77.64518541666611
301,Batukandik,2591.604937,Nusa Penida,Batukandik,Klungkung,Bali,0.61976664,310.8251667,11.3640517,2.787640974,0.425605603,0.053245908,0.639613629,0.744485071,-0.0586,0.06426886,0.0,0.020045311,0.0,87.53,86.33833676076478
302,Batumadeg,1258.418291,Nusa Penida,Batumadeg,Klungkung,Bali,0.61976664,242.2965255,10.72108378,3.398704031,0.425605603,0.06809195,0.729964166,0.763135663,-0.385,0.059746375,0.0,0.0,0.000794648,87.53,86.65808320456327
303,Abiansemal,494.5724401,Abiansemal,Abiansemal,Badung,Bali,1.012792652,153.4286256,3.682675307,25.8200115,0.32397977,0.066378204,3.981601596,0.574306725,1.0695,0.039219891,0.0,0.014577367,0.0,91.59,88.48808871773464
304,Abiansemal Dauh Yeh Cani,275.8732629,Abiansemal,Abiansemal Dauh Yeh Cani,Badung,Bali,1.735783046,161.3303754,3.954944255,21.43513051,0.340419387,0.076366174,4.382521886,0.629416063,0.1915,0.051793138,0.0,0.025532163,0.0,91.59,88.21322239592813
305,Abuan,432.2691616,Susut,Abuan,Bangli,Bali,0.64891026,674.4537721,5.537839355,18.70070196,0.433248653,0.137092298,1.362719469,0.674568198,0.1915,0.011434317,0.0,0.015024808,0.0,77.35,84.77308863095207
306,Abuan,406.6802266,Kintamani,Abuan,Bangli,Bali,0.61976664,206.0193262,6.167302396,8.999123998,0.425605603,0.124715492,1.498942103,0.67489163,0.455,0.020885704,0.0,0.082064889,0.0,77.35,79.55503166666612
307,Air Kuning,147.0366173,Jembrana,Air Kuning,Jembrana,Bali,1.059372503,8.777848504,2.131412771,10.88836033,0.32163601,0.0726461,1.544071585,0.6056297,0.246,0.054509196,0.0,0.044124618,0.0,86.59,88.75586075477172
308,Batungsel,1396.013838,Pupuan,Batungsel,Tabanan,Bali,0.61976664,206.0193262,6.167302396,8.999123998,0.425605603,0.124715492,1.498942103,0.67489163,0.171,0.059323528,0.0,0.097176236,0.0,90.54,89.03131941798947
309,Batununggul,772.2102576,Nusa Penida,Batununggul,Klungkung,Bali,0.61976664,90.71211384,8.336415817,6.634436596,0.425605603,0.062262168,1.688855687,0.687790613,0.559,0.055233561,0.0,0.0,0.005179936,87.53,88.4799866847676
